standarization,learning_rate_init,hidden_layer_sizes,activation,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,R2_mean,R2_std,R2_min,R2_max
False,0.001,1000-100,relu,0.6390297551229168,0.01813790165473344,0.6208531134126234,0.657128666887571,0.5103733762308621,0.017317600182963647,0.49304390522125374,0.5276790811252857,0.3747900735873498,0.035470196216671315,0.33922844202434776,0.41016812182404494
False,0.001,1000-100,tanh,0.6389730749688594,0.018620339589877806,0.6199363927018949,0.6571470843401123,0.5143877909969131,0.005588770743258862,0.5097974730891469,0.5206111931395432,0.3748828271815559,0.03637699406338862,0.3391914024004071,0.4119086684795832
False,0.01,10,identity,0.6580407302083923,0.006186593232818072,0.6513513204053403,0.6635563296705715,0.5251724988432912,0.006134557117401536,0.519905834361249,0.5319082053909618,0.33735388541953265,0.012443014989710966,0.3262386307186579,0.3507961152796203
False,0.01,10,logistic,0.8104726833747241,0.00027661366028453857,0.810153380764857,0.8106393702716784,0.6850706349030021,0.0004863777199704527,0.6845090312296012,0.6853552145698439,-0.005141747519934015,0.0006860406485181287,-0.005555159463964454,-0.0043498324444191105
False,0.01,10,relu,0.6541745945476451,0.008508083650123104,0.6483334641408838,0.6639360941956685,0.5264269515057494,0.014167459756324389,0.516524965308078,0.5426553520173247,0.3450821406776196,0.017093897868716214,0.3254671999461758,0.356797992405271
False,0.01,10,tanh,0.7594079252748595,0.08869008673620687,0.6570005311309378,0.8113013351598877,0.6354362846670968,0.08653704990080097,0.5355169112151383,0.6862620616076436,0.10950400375852225,0.19917769518250256,-0.0071980946914771415,0.3394861090929536
False,0.01,100,identity,0.6923852503821538,0.011982314487477707,0.6802511388255823,0.7042097676693275,0.5516447827608079,0.030378233857579234,0.5284819470327785,0.586039560155655,0.2662758178700137,0.0253821764879632,0.2411523328112649,0.29190900856488344
False,0.01,100,logistic,0.6287034338085369,0.010900087711391067,0.6223341185640027,0.64128946258627,0.5169954684099564,0.009040772750283319,0.5084403275522436,0.5264540373526888,0.3950364637860198,0.021077739377330547,0.3706985654000099,0.40735075352003736
False,0.01,100,relu,0.6373422534093742,0.010487589156583352,0.6262946784257705,0.6471617179786022,0.5086207106928571,0.02105573782801301,0.49077888440280315,0.5318453304015225,0.3783093624893068,0.02042743720185598,0.3591208354006721,0.39978346238612994
False,0.01,100,tanh,0.6232935695226461,0.006903536436230038,0.6165548607833732,0.6303509001288913,0.5049448529859916,0.0030315952013362252,0.5014584208035877,0.5069603968996592,0.40547335455658856,0.013173861186234212,0.391983634739995,0.41830682785436246
False,0.01,1000-100,identity,0.6781828284414031,0.0070284583582764775,0.6734411919455412,0.6862577583116517,0.5350867606725769,0.004951762776481492,0.5308052823356434,0.5405095208696667,0.2961579838769738,0.014629403736427252,0.27934890852648175,0.3060153440050689
False,0.01,1000-100,logistic,0.8109840919212822,0.0005560249439816061,0.810410730857652,0.8115209854750693,0.6857613207260114,0.0008370020268940146,0.6848853484688072,0.6865529689058448,-0.006410874552146062,0.0013799792126490244,-0.007743542645918033,-0.004988009315403996
False,0.01,1000-100,relu,0.6421094204556873,0.017157549435448633,0.6302601745767952,0.6617846081728447,0.5229777382566558,0.026058184373255095,0.49877988153049396,0.5505646222700369,0.3687879668477146,0.03396087950400248,0.329831766109426,0.39215864409008794
False,0.01,1000-100,tanh,0.673033615677897,0.0290727855856514,0.6481519376987057,0.7049912022811226,0.5418892520680273,0.02668925757188788,0.5195613503405841,0.5714492642785645,0.30599286004766596,0.060330248604299266,0.2394672700117555,0.35715812136043745
False,0.1,10,identity,0.6605876304311912,0.01580122262605176,0.649890912795046,0.6787369193067824,0.5284584582216437,0.010918470024036115,0.5159793903652007,0.5362528673028901,0.3319991494483078,0.032155145928482655,0.295057880474629,0.35370403727135213
False,0.1,10,logistic,0.8106770531680866,0.0019893878444185325,0.8086173162593422,0.8125877036020583,0.6845973291340357,0.003862867058640102,0.6803463689872564,0.6878927430882911,-0.005652686273523703,0.004935013964746957,-0.01039457653335063,-0.0005449144400964112
False,0.1,10,relu,0.6709716118804958,0.040263775323223505,0.645515226974977,0.7173918056679278,0.545065380508901,0.0446248179216125,0.5191714537333082,0.5965934635233003,0.30944202175943436,0.08409230395549772,0.21247683481875446,0.3623777013184397
False,0.1,10,tanh,0.830539562695098,0.029079771461263393,0.813100367007811,0.8641094914937749,0.6821161197003119,0.012210970740197707,0.668037947887964,0.6898346283279737,-0.05639407926273784,0.07466027499262637,-0.1425838078999706,-0.011669899120002603
False,0.1,100,identity,0.6585676752915042,0.0029903427065756227,0.6552923923161257,0.6611521750453383,0.5247004586148963,0.004757991435192763,0.5194753712132767,0.5287834881984825,0.336322179595059,0.0060225247482658785,0.33111204391459237,0.3429161907774346
False,0.1,100,logistic,0.7688941371498346,0.06865942130886923,0.6896131611523155,0.8086407765942724,0.6493343388636349,0.048520487799768454,0.5933375877969371,0.6789172139420115,0.09053464524181891,0.15740025183274228,-0.0006029727053478151,0.2722845477019722
